Priority,Key,Status,Assignee,Created,VendorCR,Summary
B,XG32WCMS63-415,Open,Pengfei.Zhai,03/15/2024 15:00:45,,发现多处点状异物大小0.2mm左右
B,XG32WCMS63-417,Open,Jason Huang,03/16/2024 14:55:51,,PIP/PBP开启后，DP source 切换timing缺少1920*1080@24/25/30hz和3840*2160@24/25/30hz
B,XG32WCMS63-411,In Progress,Jason Huang,03/14/2024 10:15:31,https://amtran.atlassian.net/browse/MONMTK-727,[OSD]在DP source下移除信号，或切到无信号source时，会出现Mini OSD菜单
B,XG32WCMS63-340,Reopened,Jason Huang,03/05/2024 13:39:49,https://amtran.atlassian.net/browse/MONMTK-686,[OSD]PIP/PBP开启后，显示器DCoff/on，菜单显示乱码
B,XG32WCMS63-409,In Progress,Jason Huang,03/13/2024 18:42:22,https://amtran.atlassian.net/browse/MONMTK-733,[VIDEO]PBP/PIP开启后，开启Sniper/Sniper Night Vision时，出现图标出画异，如图
B,XG32WCMS63-248,Reopened,Jason Huang,02/27/2024 08:36:44,https://amtran.atlassian.net/browse/MONMTK-732,"[SYS] TypeC连接ASUS笔记本（M6500X）后，DisplayPort 1.4,640*480@60hz/75hz,720*480@60hz无信号"
B,XG32WCMS63-412,Open,Hsun Hsu(TPE-HW),03/15/2024 14:47:51,,测试后拆机检查发现FFC连接PCB板有撞到的风险
B,XG32WCMS63-276,In Progress,Jason Huang,02/28/2024 18:55:15,與ASUS確認spec,"[OSD]菜单ELMB与ELMB SYNC功能开启,  Variable Refresh Rate / Aspect Control / PIP/PBP功能没有被禁用，与OSDtree定义不符"
B,XG32WCMS63-236,In Progress,Jason Huang,02/26/2024 09:47:22,與ASUS確認spec,[OTHER]PIP/PBP开启后，切换timing到640*480@75hz，800*600@75hz，1024*768@75hz时会退出PIP、PBP模式
B,XG32WCMS63-378,In Progress,Jason Huang,03/08/2024 19:22:04,"跟ASUS 確認spec , 3840X2160@24/25hz timing 無法支援",[SYS] DP source 连接3080，从分辨率2560X1440@60hz切换到3840X2160@24/25hz，出现黑屏
B,XG32WCMS63-398,In Progress,Jason Huang,03/11/2024 19:48:06,機台相容性問題,[SYS] 连接ASUS笔记本G634JZ，部分刷新率没有
B,XG32WCMS63-397,In Progress,Jason Huang,03/11/2024 19:30:35,機台相容性問題,[SYS] 连接华硕笔记本无畏pro15 6500，部分刷新率没有
B,XG32WCMS63-231,Open,Jason Huang,02/22/2024 19:13:16,機台相容性問題,[SYS] 连接Mac mimi Apple M1，部分刷新率找不到
B,XG32WCMS63-232,In Progress,Jason Huang,02/22/2024 19:17:21,機台相容性問題,[SYS]连接ASUS笔记本FA507 ，部分刷新率找不到
B,XG32WCMS63-133,In Progress,Jason Huang,01/31/2024 11:17:46,TOOL 本身行為,[SYS] 在HDMI source2560*1440@60hz下开启 大摆钟 “G-SYNC Pendulum Demo Configuration”时，分辨率变成3840*2160@120hz
B,XG32WCMS63-222,In Progress,Jason Huang,02/21/2024 18:15:20,機台相容性問題,[SYS] 连接Mac mini Apple M2; 部分刷新率找不到
B,XG32WCMS63-206,Reopened,Jason Huang,02/20/2024 15:09:34,機台相容性問題,[SYS] HDMI 连接 显卡6900   缺少部分刷新率
B,XG32WCMS63-207,Reopened,Jason Huang,02/20/2024 15:12:12,機台相容性問題,[SYS]DP 连接 显卡6900 缺少部分刷新率
B,XG32WCMS63-209,Reopened,Jason Huang,02/20/2024 15:14:38,機台相容性問題,[SYS] TYPEC  连接 显卡6900 缺少部分刷新率
B,XG32WCMS63-380,In Progress,Jason Huang,03/09/2024 09:06:37,https://amtran.atlassian.net/browse/MONMTK-730,[VIDEO] DP source 连接3080 ，在分辨率2560X1440@165HZ下，出现线条画异，鼠标光标抖动
B,XG32WCMS63-384,In Progress,Jason Huang,03/09/2024 18:55:07,https://amtran.atlassian.net/browse/MONMTK-730,[VIDEO] DP/HDMI source 连接A750显卡  2560*1440@280hz时，画异
B,XG32WCMS63-130,In Progress,Jason Huang,01/31/2024 10:40:52,https://amtran.atlassian.net/browse/MONMTK-677,[AUDIO] 在HDMIsource 连接ASUS FA507笔记本，切换到分辨率2560*1440@120hz时，耳机有杂音
B,XG32WCMS63-318,In Progress,Jason Huang,03/02/2024 09:56:18,https://amtran.atlassian.net/browse/MONMTK-727,[OSD]开关HDR功能，OSD部分菜单显示异常
B,XG32WCMS63-44,In Progress,Jason Huang,01/27/2024 14:36:57,   https://amtran.atlassian.net/browse/MONMTK-617,[VIDEO] 开启游戏“CFHD高清竞技大区”时，画面背光闪烁
B,XG32WCMS63-392,In Progress,Jason Huang,03/11/2024 14:38:40,https://amtran.atlassian.net/jira/core/projects/MONMTK/issues/MONMTK-726,[OSD]开启ELMB功能后，做reset后。没有回到初始值
B,XG32WCMS63-317,In Progress,Jason Huang,03/02/2024 09:31:42,https://amtran.atlassian.net/browse/MONMTK-717,"[SYS] HDR开启 ,  PIP/PBP 模式点击开启，实则没有开启PIP/PBP模式，显示器画面异常，刷新率只能达到60hz，此时找不到HDR开关选项"
B,XG32WCMS63-410,In Progress,Jason Huang,03/14/2024 09:16:24,https://amtran.atlassian.net/browse/MONMTK-717,"[SYS] 菜单Aspect Control-16:9-full 中，开启27""/24.5’功能,退出后刷新率只能到2560*1440@165HZ"
B,XG32WCMS63-383,In Progress,Bruce Wu,03/09/2024 18:50:15,https://amtran.atlassian.net/browse/MONMTK-720,[SYS] HDMI source 连接A750 部分刷新率不能切换
B,XG32WCMS63-34,In Progress,Bruce Wu,01/27/2024 13:34:15,https://amtran.atlassian.net/browse/MONMTK-586,[SYS] 调节Blue Light Filter的项目时反应慢。画面改变后，项目才选中
B,XG32WCMS63-132,In Progress,Bruce Wu,01/31/2024 11:07:17,https://amtran.atlassian.net/browse/MONMTK-617,[VIDEO] 在HDMI source下开启 大摆钟 “G-SYNC Pendulum Demo Configuration”时，画面背光闪烁
B,XG32WCMS63-157,In Progress,Bruce Wu,02/03/2024 08:57:33,https://amtran.atlassian.net/browse/MONMTK-613,[VIDEO]调节Display Color Space内的sRGB，DCI-P3和Wide Gamut时，闪烁白色细横线
B,XG32WCMS63-165,In Progress,Bruce Wu,02/04/2024 08:24:27,https://amtran.atlassian.net/browse/MONMTK-600,[OSD]菜单上Display Alignment 的翻译共13國語言亂碼。
B,XG32WCMS63-394,In Progress,Bruce Wu,03/11/2024 15:48:14,https://amtran.atlassian.net/browse/MONMTK-713,[OSD] 做完reset后，第一次开启PBP时，有时出现无法开启 
B,XG32WCMS63-375,In Progress,Bruce Wu,03/08/2024 16:33:08,https://amtran.atlassian.net/browse/MONMTK-716,"[VIDEO] HDMI source 连接RX6900,在分辨率3840X2160@120hz下，开或者关闭HDR 出现白色画异"
B,XG32WCMS63-298,In Progress,Jason Huang,02/29/2024 16:36:55,https://amtran.atlassian.net/browse/MONMTK-715,"[SYS] 菜单内Vivid Pixel功能异常,  调节数值时，画面清晰度没有逐渐变化"
B,XG32WCMS63-377,In Progress,Bruce Wu,03/08/2024 19:07:22,https://amtran.atlassian.net/browse/MONMTK-714,"[AUDIO] DP source 连接3080 ,播放音乐，在分辨率3840X2160@60HZ（HDR）下，关闭HDR，切换过程中依然有声音输出"
B,XG32WCMS63-102,In Progress,Bruce Wu,01/29/2024 16:46:49,https://amtran.atlassian.net/browse/MONMTK-608,"[OSD] """"Timer-Out"""" Behavior for Key Menu / Key Menu + Main Menu 错误"
B,XG32WCMS63-188,In Progress,Bruce Wu,02/17/2024 10:05:38,https://amtran.atlassian.net/browse/MONMTK-628,[OSD] 核对语言翻译错误
B,XG32WCMS63-252,In Progress,Bruce Wu,02/27/2024 13:24:08,https://amtran.atlassian.net/browse/MONMTK-703,[SYS] HDMIsource 连接20m的HDMI线后，分辨率timing调到2560*1440@144hz以上就会出现无画面
B,XG32WCMS63-262,In Progress,Bruce Wu,02/28/2024 13:58:03,https://amtran.atlassian.net/browse/MONMTK-712,[VIDEO] GameVisual 模式互相时，显示器画面出现闪线条现象，位置不定
B,XG32WCMS63-326,In Progress,Bruce Wu,03/04/2024 09:19:11,https://amtran.atlassian.net/browse/MONMTK-661,[SYS] 移除信号自动切source时，指示灯先变橙色再变白色，然后出画面
B,XG32WCMS63-303,In Progress,Bruce Wu,03/01/2024 09:59:04,https://amtran.atlassian.net/browse/MONMTK-660,[OSD] OSD主菜单内，上下左右调节功能时，菜单内随机出现闪线条现象（如图）
B,XG32WCMS63-322,In Progress,Jason Huang,03/02/2024 14:18:29,https://amtran.atlassian.net/browse/MONMTK-657,[OSD] 语言调节到Bahasa Indonesia(印度尼西亚语)，System Setup字体显示超出
