Priority,Key,Status,Assignee,Created,VendorCR,Summary
A,MONMTK-734,Open,stan_chang,2024-03-15T18:15:24.369+0800,,[XG32WCMS] ELMB/ELMB sync 亮度變超暗
A,MONMTK-698,Open,stan_chang,2024-03-09T00:41:57.489+0800,https://amtran.atlassian.net/browse/XG32WCMS63-379,[XG32WCMS] 打开HDR，叫出Menu OSD 每出现一次，屏幕就闪一次
A,MONMTK-567,Open,stan_chang,2024-01-31T17:10:43.250+0800,,[XG32WCMS] 無法透過TypeC update FW
A,MONMTK-730,Open,stan_chang,2024-03-14T17:17:39.404+0800,"XG32WCMS63-384 , XG32WCMS63-380",[XG32WCMS] QHD@280Hz，天側會有橫條閃爍
B,MONMTK-677,Open,stan_chang,2024-03-05T17:55:48.046+0800,https://amtran.atlassian.net/browse/XG32WCMS63-130,[XG32WCMS] 在HDMIsource 连接ASUS FA507笔记本，切换到分辨率2560*1440@120hz时，遮黑過程有杂音
B,MONMTK-720,Open,stan_chang,2024-03-13T18:49:08.229+0800,https://amtran.atlassian.net/browse/XG32WCMS63-383  https://amtran.atlassian.net/browse/XG32WCMS63-211,[XG32WCMS]HDMI source 接顯卡A750 部分更新率無法切換。
B,MONMTK-733,Open,stan_chang,2024-03-15T15:51:36.024+0800,https://amtran.atlassian.net/browse/XG32WCMS63-409,[XG32WCMS] PBP/PIP开启后，开启Sniper/Sniper Night Vision时，出现图标出画异
B,MONMTK-732,Open,stan_chang,2024-03-15T15:29:07.351+0800,https://amtran.atlassian.net/browse/XG32WCMS63-248,"[XG32WCMS] ASUS NB M6500X，640*480@60hz/75hz,720*480@60hz No Signal"
B,MONMTK-573,Open,stan_chang,2024-02-01T13:14:49.894+0800,,[XG32WCMS] PBP mode mail source無訊號行為與OSD異常
B,MONMTK-644,Open,stan_chang,2024-02-27T17:18:02.426+0800,,[XG32WCMS] 真睡眠的情況下，部分Key無法叫出Standby Menu
B,MONMTK-491,Open,stan_chang,2023-12-11T15:00:47.725+0800,,[XG32WCMS] 開啟Night Vision功能異常
B,MONMTK-708,Open,stan_chang,2024-03-11T17:16:32.960+0800,https://amtran.atlassian.net/browse/XG32WCMS63-256,[XG32WCMS] ELMB Sync 在60Hz開啟，畫面閃爍
B,MONMTK-691,Open,stan_chang,2024-03-07T14:34:49.559+0800,https://amtran.atlassian.net/browse/XG32WCMS63-192,[XG32WCMS]PBP模式下，直接All Reset之後，只剩下60Hz，並且無法切換HDR。
B,MONMTK-694,Open,stan_chang,2024-03-08T09:35:18.769+0800,https://amtran.atlassian.net/browse/XG32WCMS63-345,[XG32WCMS] HDMI连接PS5，测试1440p输出界面，VRR认证过程中，显示器荧幕下方闪烁
B,MONMTK-687,Open,stan_chang,2024-03-07T09:05:40.584+0800,https://amtran.atlassian.net/browse/XG32WCMS63-293,[XG32WCMS]PBP模式且Auto Input Detection開啟的情況下，切換主畫面到無信號的Source時，不會自動切換到有信號的Source。
B,MONMTK-615,Open,stan_chang,2024-02-15T15:13:38.916+0800,https://amtran.atlassian.net/browse/XG32WCMS63-183,[XG32WCMS] PIP功能开启后，切换子画面位置时，子画面会闪一下
B,MONMTK-717,Open,stan_chang,2024-03-13T17:59:26.215+0800,XG32WCMS63-410,[XG32WCMS] Reset後EDID沒讀取至預設狀態，VRR、PIPPBP、Aspect Control
B,MONMTK-726,Open,stan_chang,2024-03-14T11:02:54.841+0800,,[XG32WCMS][OSD]开启ELMB功能后，做reset后。没有回到初始值
B,MONMTK-617,Open,stan_chang,2024-02-15T15:40:01.336+0800,https://amtran.atlassian.net/browse/XG32WCMS63-132,[XG32WCMS]在HDMI source時，開啟大鐘擺 “G-SYNC Pendulum Demo Configuration”時，畫面背光閃爍
B,MONMTK-613,Reopened,stan_chang,2024-02-15T14:49:41.372+0800,https://amtran.atlassian.net/browse/XG32WCMS63-157,[XG32WCMS]調整Display Color Space内的sRGB，DCI-P3和Wide Gamut時，閃爍白色細橫線。
B,MONMTK-716,Open,stan_chang,2024-03-13T11:08:25.937+0800,https://amtran.atlassian.net/browse/XG32WCMS63-375,[XG32WCMS]HDMI source 連接RX6900，在3840X2160@120hz下，開關HDR切換當中畫異。
B,MONMTK-713,Open,stan_chang,2024-03-13T10:14:40.375+0800,https://amtran.atlassian.net/browse/XG32WCMS63-394,"[XG32WCMS]PBP模式下，使用All Reset後,第一次開PBP功能時，會無法開啟。"
B,MONMTK-712,Open,stan_chang,2024-03-12T10:40:59.932+0800,https://amtran.atlassian.net/browse/XG32WCMS63-262,[XG32WCMS]GameVisual模式互相切換時，有機率會出現閃白線，位置不固定。
B,MONMTK-711,Open,stan_chang,2024-03-11T21:36:52.747+0800,,[XG32WCMS]Type C Source，只要有接著，無論有沒有信號來源，都顯示有TypeC
B,MONMTK-660,Open,stan_chang,2024-03-04T10:20:38.923+0800,https://amtran.atlassian.net/browse/XG32WCMS63-303,[XG32WCMS]OSD選單，左右切換到Bar功能時，Bar條的左右兩側偶爾隨機出現橫條。
B,MONMTK-661,Open,stan_chang,2024-03-04T10:53:07.914+0800,https://amtran.atlassian.net/browse/XG32WCMS63-326,[XG32WCMS]自動切換Soruce時，先進入待機狀態(LED橘燈)後，才切換到新的Source。
